,country,continent,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,cases/1M_pop,deaths/1M_pop,total_tests,tests/1M_pop,population,Date
0,China,Asia,"82,995",+2,"4,634 ",,"78,288",73,4,58,3,,,"1,439,323,776 ",2020-05-28
1,USA,North America,"1,768,461","+22,658","103,330 ","+1,223","498,725","1,166,406","17,202","5,346",312,"16,331,312","49,365","330,827,597",2020-05-28
2,Brazil,South America,"438,812","+24,151","26,764 ","+1,067","193,181","218,867","8,318","2,066",126,"871,839","4,104","212,422,152",2020-05-28
3,Russia,Europe,"379,051","+8,371","4,142 ",+174,"150,993","223,916","2,300","2,598",28,"9,701,280","66,479","145,928,996",2020-05-28
4,Spain,Europe,"284,986","+1,137","27,119 ",+1,"196,958","60,909",854,"6,096",580,"3,556,567","76,071","46,753,197",2020-05-28
5,UK,Europe,"269,127","+1,887","37,837 ",+377,,,"1,559","3,966",558,"3,918,079","57,743","67,853,964",2020-05-28
6,Italy,Europe,"231,732",+593,"33,142 ",+70,"150,604","47,986",489,"3,832",548,"3,683,144","60,909","60,469,504",2020-05-28
7,France,Europe,"186,238","+3,325","28,662 ",+66,"67,191","90,385","1,429","2,854",439,"1,384,633","21,217","65,260,761",2020-05-28
8,Germany,Europe,"182,452",+557,"8,570 ",+37,"163,200","10,682",744,"2,178",102,"3,952,971","47,194","83,760,156",2020-05-28
9,India,Asia,"165,386","+7,300","4,711 ",+177,"70,920","89,755","8,944",120,3,"3,362,136","2,439","1,378,752,175",2020-05-28
10,Turkey,Asia,"160,979","+1,182","4,461 ",+30,"124,369","32,149",683,"1,911",53,"1,928,209","22,885","84,254,857",2020-05-28
11,Iran,Asia,"143,849","+2,258","7,627 ",+63,"112,988","23,234","2,543","1,715",91,"876,492","10,448","83,892,015",2020-05-28
12,Peru,South America,"141,779","+5,874","4,099 ",+116,"59,442","78,238",926,"4,306",124,"928,797","28,207","32,928,451",2020-05-28
13,Canada,North America,"88,512",+993,"6,877 ",+112,"46,840","34,795","1,613","2,347",182,"1,585,235","42,036","37,711,800",2020-05-28
14,Chile,South America,"86,943","+4,654",890 ,+49,"36,150","49,903","1,289","4,552",47,"530,173","27,756","19,101,165",2020-05-28
15,Saudi Arabia,Asia,"80,185","+1,644",441 ,+16,"54,553","25,191",384,"2,307",13,"770,696","22,171","34,762,153",2020-05-28
16,Mexico,North America,"78,023","+3,463","8,597 ",+463,"54,383","15,043",378,606,67,"244,858","1,901","128,807,241",2020-05-28
17,Pakistan,Asia,"61,227","+2,076","1,260 ",+35,"20,231","39,736",111,278,6,"508,086","2,305","220,474,171",2020-05-28
18,Belgium,Europe,"57,849",+257,"9,388 ",+24,"15,572","32,889",208,"4,993",810,"818,807","70,678","11,585,114",2020-05-28
19,Qatar,Asia,"50,914","+1,967",33 ,+3,"15,399","35,482",214,"17,701",11,"207,033","71,977","2,876,377",2020-05-28
20,Netherlands,Europe,"45,950",+182,"5,903 ",+32,,,182,"2,682",345,"342,681","20,003","17,131,525",2020-05-28
21,Bangladesh,Asia,"40,321","+2,029",559 ,+15,"8,425","31,337",1,245,3,"275,776","1,676","164,537,836",2020-05-28
